qid,qtitle,qtags,mrscid,mrsname,assistid,timestamp,logdate
0000016A4F57F637000000176375706F795F72656C656173655155455354,「每個問題都應該要可以被驗證」觀念釐清,"['ml100-2', '觀念', 'ml100-2-d01']",empty,空的,ai_tw,1562318162893,2019-07-05
0000016AF95169D3000002936375706F795F72656C656173655155455354,D022模型選擇,"['ml100-2', 'ml100-2-d22']",empty,空的,ai_tw,1562256290134,2019-07-05
0000016B50529A38000000E76375706F795F72656C656173655155455354,Day22 範例OneHotEncoder運算時間比LabelEncoder快？,"['ml100-2-d22', 'onehotencoder', 'labelencoder']",empty,空的,ai_tw,1562256290382,2019-07-05
0000016A4F57F637000000176375706F795F72656C656173655155455354,「每個問題都應該要可以被驗證」觀念釐清,"['ml100-2', '觀念', 'ml100-2-d01']",empty,空的,ai_tw,1562555559064,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573566854,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573619769,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573641188,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573659209,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573752215,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573924697,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573956046,2019-07-08
0000016B89BAE540000000636375706F795F72656C656173655155455354,D60 example & HW 圖顯示不出,"['ml100-2', 'ml100-2-d60']",empty,空的,ai_tw,1562573978343,2019-07-08
0000016BCD4287CF0000004E6375706F795F72656C656173655155455354,tensorflow安裝問題?,"['ml100-2-d66', 'ml100-2']",empty,空的,ai_tw,1562769601356,2019-07-10
0000016AD812C2B6000001C06375706F795F72656C656173655155455354,Day029的幾個疑問,"['ml100-2', 'ml100-2-d29']",empty,空的,ai_tw,1562719900493,2019-07-10
