pagePath,assistid,qid,qtitle,qtags,avgsessionduration,pvnum,logdate
/qa/kwassist/ai_tw/00000167DB6887CC0000006C6375706F795F72656C656173655155455354,ai_tw,00000167DB6887CC0000006C6375706F795F72656C656173655155455354,"請問下列程式中,多創一個欄位的原因是?","['ml100', '資料註記', 'ml100-d10']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016960A6ABF00000002C6375706F795F72656C656173655155455354,ai_tw,0000016960A6ABF00000002C6375706F795F72656C656173655155455354,下列程式的意思是什麼? 請求老師解說,"['ml100', 'annotationbbox,', 'ml100-d61']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016A2A1DE686000000586375706F795F72656C656173655155455354,ai_tw,0000016A2A1DE686000000586375706F795F72656C656173655155455354,無法安裝anaconda,"['ml100-2', 'faq', 'anaconda', '安裝']",0.0,2,2019-08-23
/qa/kwassist/ai_tw/0000016A338BE7820000026D6375706F795F72656C656173655155455354,ai_tw,0000016A338BE7820000026D6375706F795F72656C656173655155455354,如何更換jupyter預設目錄的問題,"['ml100-2', 'faq', 'python', 'jupyter', '路徑']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016A3AD87CC0000003956375706F795F72656C656173655155455354,ai_tw,0000016A3AD87CC0000003956375706F795F72656C656173655155455354,D1 作業3  範例程式執行問題,"['ml100-2', 'mae', 'ml100-2-d01']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016A466E15A5000005D06375706F795F72656C656173655155455354,ai_tw,0000016A466E15A5000005D06375706F795F72656C656173655155455354,day001-3作業,"['ml100-2', 'ml100-2-d01']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016A4F57F637000000176375706F795F72656C656173655155455354,ai_tw,0000016A4F57F637000000176375706F795F72656C656173655155455354,「每個問題都應該要可以被驗證」觀念釐清,"['ml100-2', '觀念', 'ml100-2-d01']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016A6F38CAEB000000606375706F795F72656C656173655155455354,ai_tw,0000016A6F38CAEB000000606375706F795F72656C656173655155455354,Day_004_column_data_type,"['ml100-2', '語法', 'ml100-2-d04']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016A906958F9000003646375706F795F72656C656173655155455354,ai_tw,0000016A906958F9000003646375706F795F72656C656173655155455354,Day 22 類別型特徵 - 基礎處理,"['ml100-2', 'ml100-2-d22', '類別型特徵']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016AA53996DD000000A96375706F795F72656C656173655155455354,ai_tw,0000016AA53996DD000000A96375706F795F72656C656173655155455354,Day22 講義問題,"['ml100-2', 'ml100-2-d22']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016ACB967C4B0000014A6375706F795F72656C656173655155455354,ai_tw,0000016ACB967C4B0000014A6375706F795F72656C656173655155455354,Day22 範例,"['ml100-2', 'ml100-2-d22']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016AD9F1C8B9000001CD6375706F795F72656C656173655155455354,ai_tw,0000016AD9F1C8B9000001CD6375706F795F72656C656173655155455354,Day022 範例問題,"['ml100-2-d22', 'ml100-2']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016AF95169D3000002936375706F795F72656C656173655155455354,ai_tw,0000016AF95169D3000002936375706F795F72656C656173655155455354,D022模型選擇,"['ml100-2', 'ml100-2-d22']",0.0,1,2019-08-23
/qa/kwassist/ai_tw/0000016B1D4E533F0000004B6375706F795F72656C656173655155455354,ai_tw,0000016B1D4E533F0000004B6375706F795F72656C656173655155455354,D39,"['ml100-2', 'ml100-2-d39']",0.0,1,2019-08-23
